event_id,event_name,entity,entity_type,pct_global_CO2_1854_2022,loss_eur_low,loss_eur_central,loss_eur_high
E2,July 2022 Iberian heatwave,Equinor,investor_owned,0.39,151843.1160589735,151843.1160589735,303686.232117947
E2,July 2022 Iberian heatwave,RWE,investor_owned,0.38,148821.5577345024,148821.5577345024,297643.1154690048
E2,July 2022 Iberian heatwave,Rio Tinto,investor_owned,0.34,132771.98169932468,132771.98169932468,265543.96339864936
E2,July 2022 Iberian heatwave,Glencore,investor_owned,0.32,124178.19893232243,124178.19893232243,248356.39786464485
E2,July 2022 Iberian heatwave,Alpha Metallurgical Resources,investor_owned,0.31,120214.85619502916,120214.85619502916,240429.71239005832
E2,July 2022 Iberian heatwave,ONGC India,state_owned,0.3,116094.5493889322,116094.5493889322,232189.0987778644
E2,July 2022 Iberian heatwave,Sasol,investor_owned,0.25,97945.57893350506,97945.57893350506,195891.15786701013
E2,July 2022 Iberian heatwave,Ukraine,nation_state,0.25,97494.30723569445,97494.30723569445,194988.6144713889
E2,July 2022 Iberian heatwave,Surgutneftegas,investor_owned,0.25,92903.1082231864,92903.1082231864,185806.2164463728
E2,July 2022 Iberian heatwave,Repsol,investor_owned,0.23,89940.41142451669,89940.41142451669,179880.82284903337
E2,July 2022 Iberian heatwave,Petroleum Development Oman,state_owned,0.22,86075.17123022571,86075.17123022571,172150.34246045141
E2,July 2022 Iberian heatwave,Sinopec,state_owned,0.23,85820.10461841972,85820.10461841972,171640.20923683944
E2,July 2022 Iberian heatwave,Egyptian General Petroleum,state_owned,0.22,84721.35613679385,84721.35613679385,169442.7122735877
E2,July 2022 Iberian heatwave,TurkmenGaz,state_owned,0.19,82857.40781974998,82857.40781974998,165714.81563949995
E2,July 2022 Iberian heatwave,Petoro,state_owned,0.21,81896.00289832735,81896.00289832735,163792.0057966547
E2,July 2022 Iberian heatwave,CNOOC,state_owned,0.22,81366.24916611488,81366.24916611488,162732.49833222976
E2,July 2022 Iberian heatwave,North Korea,nation_state,0.21,80522.56729629503,80522.56729629503,161045.13459259007
E2,July 2022 Iberian heatwave,Marathon Oil,investor_owned,0.19,74636.4147161565,74636.4147161565,149272.829432313
E2,July 2022 Iberian heatwave,Bumi Resources,investor_owned,0.19,73812.35335493712,73812.35335493712,147624.70670987424
E2,July 2022 Iberian heatwave,Devon Energy,investor_owned,0.16,64688.816855722405,64688.816855722405,129377.63371144481
E2,July 2022 Iberian heatwave,Singareni Collieries,state_owned,0.17,64571.09380411963,64571.09380411963,129142.18760823926
E2,July 2022 Iberian heatwave,Sonangol,state_owned,0.18,64374.88871811501,64374.88871811501,128749.77743623003
E2,July 2022 Iberian heatwave,Holcim Group,investor_owned,0.18,62255.87378926514,62255.87378926514,124511.74757853028
E2,July 2022 Iberian heatwave,Novatek,investor_owned,0.14,60745.09462702959,60745.09462702959,121490.18925405918
E2,July 2022 Iberian heatwave,Ecopetrol,state_owned,0.16,60745.09462702959,60745.09462702959,121490.18925405918
E2,July 2022 Iberian heatwave,Suncor Energy,investor_owned,0.16,60274.20242061851,60274.20242061851,120548.40484123702
E2,July 2022 Iberian heatwave,Hess Corporation,investor_owned,0.15,59371.65902499726,59371.65902499726,118743.31804999452
E2,July 2022 Iberian heatwave,Ovintiv,investor_owned,0.14,58724.182241182025,58724.182241182025,117448.36448236405
